Name,Rating,Date,Review
Li Lian Yang,1/5,4 bulan lalu di,"WiFi sangat buruk sehingga saya bahkan tidak dapat menyambungkannya setelah beberapa kali mencoba. Ada noda dimana-mana (handuk, sprei, ubin toilet). AC kurang dingin dan ruangan gelap. Kedap suara jendelanya buruk, saya bisa mendengar …"
Michael Kump (Tarqueth),1/5,5 tahun lalu di,Saya benci meninggalkan ulasan buruk. Saya biasanya akan berusaha memanfaatkan situasi apa pun secara positif. Sayangnya saya tidak bisa memberikan ulasan yang bagus ketika kesehatan menjadi masalah. …
Clara Visia Padmasari,1/5,3 tahun lalu di,"Oke, inilah definisi sebenarnya dari apa yang disebut budget hotel. Ponsel saya tidak berfungsi di kamar hotel, saya harus turun. Mereka mendapat sambutan di sana, namun mereka hanya cukup baik. Cukup banyak noda yang terlihat di kasur 😂😂 …"
MichelleIce,1/5,4 tahun lalu di,"Saya memesan 2 kamar deluxe untuk sehari, karena saya salah memesan tanggal untuk kamar mewah saya di hotel yang sama. Nah, inilah yang saya alami sepanjang malam: …"
Teria Anarghati,1/5,setahun lalu di,Nama pengguna dan kata sandi wifi yang mereka berikan saat kami check-in tidak berfungsi!! Sangat buruk.. tidak stabil!!
andreas ap,1/5,setahun lalu di,"Tidak terlalu bersih, layanan VS tarifnya tidak layak sama sekali, wifi sangat buruk"
Soffian Joyopranoto,1/5,6 tahun lalu di,Hanya untuk menyimpan tas Anda
alby alby,1/5,5 tahun lalu di,Tempat yang bagus untuk menginap di jogya
Sudi Pratikno,2/5,4 bulan lalu di,"Hotel cukup buruk. Tidak ada tempat wudhu (kran). Kamar 619 tidak terkena pancaran wifi, wifi sering trouble. Gorden banyak debu, ada kawan sampai alergi bersin-bersin. Kaca tidak dapat dibuka."
agustin nanda,2/5,7 bulan lalu di,"Pelayanannya sangat lamban.
Check in jam setengah 3 dan diinfokan blm ada handuk dan akan segera di antar. Tp sampe setengah 4 handuk br datang …"
Bebek Yangti,2/5,2 tahun lalu di,"Nginep 3 hari for work, Dan aku baru pengalaman kalo ada hotel dg kasur sekeras ini. Bahkan oyo lebih empuk. Dan tryt bukan cuma kamar ku tp jg kamar temen laim. Please lah, murah sih murah tp kan kunci utama hotel untuk istrhat tp we can't really enjoy your room. So bad"
Muhammad Iqra,2/5,5 tahun lalu di,"Bagi saya pribadi hotel ini tidak terlalu bagus ada banyak hal yang saya nilai.

Pertama tempat parkir basementnya sangat sempit dan tidak ada yang mengatur …"
Raden Ovian,2/5,3 tahun lalu di,"LUAR :
- Hotel berlokasi di jalan searah
- Belakang mall GALERIA …"
Fitri Riyayanti,2/5,5 tahun lalu di,Pengalaman mnginap disini sudah bebrapa x dengan keluarga... tp 2018 in yang mengecewakan... fasilitas kamar yg kurang diperhatikan kadaannya... menu sarapan nya terkesan se adanya saja.. jauh dr ekspektasi.. dan jauh menurun dr pengalaman2 …
Larasati Chairul,2/5,7 tahun lalu di,hotelnya lumayan pelayanan kurang ok pas udah check out selesai disuruh bayar charge karena sprei agak kotor disuru bayar 50000 bukannya pas check out ini malah disuru check out pas kita udah ninggalin hotel ga responsible banget
ADP,2/5,6 tahun lalu di,Nama hotel ini lebih cocok disebut budget hotel. Nuansa yang ingin ditonjolkan kurang kuat untuk sebuah boutique hotel. Sarapannya kurang menarik dan persediannya kurang.
irwan dew,2/5,setahun lalu di,Utk makan pagi kurang nyaman jdi kami hny ambil snack & kopi
Achmad Teguh Pribadi,2/5,6 tahun lalu di,"Apakah jogja akan penuh dengan bangunan hotel bertingkat..., dimana mayarakat jogja, apakah wong jogja sudah tergusur ke pinggiran... Atau mereka sudah habis ditelan jaman... Sehingga jogja hanya untuk orang"" metropolitan dengan budaya barat... Ning ndie jogjamu...."
james,2/5,3 tahun lalu di,"bantal bau apek , sprei jg kotor . lahan parkir terbatas"
Local Guide Fotografer,2/5,7 tahun lalu di,"Butik hotel tengah kota. Lokasi tengah kota asilitas, servis cukup menurut saya dan harganya sesuai"
Mushib Razak,2/5,3 tahun lalu di,"Parkiran nya terbatas, kamar hotel nya kecil"
Muhammad Afrizal,2/5,6 tahun lalu di,"Hotel sangat kecil, parkiran sempit, kamar sangat kotor"
Lintang Dianiratri,2/5,5 tahun lalu di,Fasilitas kamar tidak berfungsi dengan baik
Nurhayati Dayatama,2/5,6 tahun lalu di,Hotel baru. Sering digunakan untuk legiatan pemerontah kota.
irfa darojat,2/5,3 tahun lalu di,"Sabun habis, kram rusak"
Vincensius Galih,2/5,4 tahun lalu di,Airnya mati
Grace Wilhelmina Zefanya,2/5,4 bulan lalu di,"Wifinya sangat buruk, saya bahkan tidak bisa terhubung. parahnya AC tidak dingin sama sekali. mohon segera diperbaiki."
M. Park (Joseph),2/5,3 bulan lalu di,"Tidak ada pisau cukur yang dibuang, tidak ada sampo, tidak ada bilas"
Your Star,2/5,2 tahun lalu di,"Saya sangat menyesal toilet Anda tidak bisa menyiram dengan baik. Dan kamar mandinya berbau tidak sedap. Saya juga melihat 2 serangga di tempat tidur. Mohon maaf sekali atas ulasannya. Lokasi sangat bagus, tapi mohon ditingkatkan lagi pelayanan dan fasilitas hotelnya."
Kristi Ham,2/5,4 tahun lalu di,"Kamarnya sebenarnya bagus dan bersih. Tapi kami mengambil kamar untuk 3 orang. Salah satu yang ekstra buruk HARUS memiliki selimut atau tempat tidur yang asli, bukan hanya sprei yang super duper ringan. Saya tidak bisa tidur sepanjang malam …"
Tegoeh “3Döt” Raswidhyantoro,2/5,3 tahun lalu di,Memesan Kamar Keluarga (4 Dewasa + 2 Anak) akhir Februari 2020 dan kamarnya ternyata hanya deluxe atau mungkin kamar superior dengan 2 tempat tidur tambahan sempit ... …
Adhi Pramono,2/5,3 tahun lalu di,"saluran tivi internasional tidak berfungsi.. sangat berisik dari kamar sebelah, jam 2 pagi mereka mengetuk dinding dan mengerang seperti kuda 😂 …"
Christopher E. Thenadi,2/5,5 tahun lalu di,"Cukup buruk untuk harganya, mengingat persaingannya. Tempat tidur sangat sulit."
Lanang Putra,2/5,6 tahun lalu di,"Tempat tidur yang sehat, tempat tidur yang sangat keras"
Esti Mahestu,2/5,6 tahun lalu di,Tempat tidur yang keras
Nia Primastiti,2/5,4 tahun lalu di,Pengalaman buruk
Dedy Hartanto,1/5,2 minggu lalu di,"Kamar kecil terasa sumpek, seperti hotel bintang 2. kasur terlalu empuk, badan dan leher sakit semua, suara luar sangat terdengar. Saya kebangun berkali-kali oleh suara orang di lorong, jam 2 pagi. Baru kali ini sangat benci pengalaman …"
redup,1/5,4 bulan lalu di,"Makanannya enak yg dulu banget pas pertama kali bulan januari kesana, makanannyaa ber variasi banyakk dan tidak monoton
Untuk kamar masih sama …"
Farenhes,1/5,11 bulan lalu di,"Hotel terburuk yg pernah saya jumpai dari segi pelayanan,fasilitas,makanan,parkir dll
Saya tidak menemukan senyum dari pelayan/budak hotel & tidak ada menyapa …"
vidia widya,1/5,setahun lalu di,"Terimakasih atas 2 malam nya yang membuat saya bilang huf terus, berikut beberapa hal yang bisa jadi pertimbangan agar hotel bisa lebih baik:
1. Kamar tidak memiliki lampu utama. Jadi kalau malem selamat beredup2 ria. …"
Nda 060,1/5,setahun lalu di,"Lokasi hotel strategis , kondisi saat kita check in pantai kamar Kotor ,bantal bau , perlengkapan kamar mandi di hari pertama lengkap , di hari ke 2 dan ke 3 tidak di Refill!kamar juga sedikit bau. Untuk menu breakfast enak, tapi yang di …"
Ozil Purba,1/5,setahun lalu di,"Kami rombongan Datang dr sampai jam 13.30 wib tapi kamar blm siap seharusnya untuk kamar rombongan sdh di siapkan Krn biasanya checkout jam 12 siang ,membersihkan kamar 1 jam jadi jam 13.00 kamar sdh siap .tapi kami msh harus menunggu …"
Bams Raqila,1/5,setahun lalu di,"Kami menginap 2 malam,
Namun sangat kecewa karna Wifi tidak bisa diakses dari kamar kami.
Namun saat di lobby akses wifi normal. Selain itu kamar tidak mendukung TV …"
Baresi Putra,1/5,2 tahun lalu di,"Dengan harga segitu sangat ngga worth it, kamar sangat kecil. Kamar mandi jadi banyak genangan air karna penutup pintu hanya setengah. Apa lagi breakfast, sangat mengecewakan sangat sederhana. Sering kali telat mengisi ulang makanan atau …"
Nonie Miranto,1/5,2 tahun lalu di,"maaf ya hotel Khas tugu,saya kecewa sekali..kami atas nama Agus miranto menginap 2 malam dr tgl 5 -7 may kamar 522 dan 526,pada saat breakfast pagi,ternyata kami tdk boleh masuk restoran,nama kami tidak termasuk breakfast,ternyata data blm …"
Nathan Kent,1/5,2 tahun lalu di,"Lantai kamar mandi licin banget, walaupun sudah ada notice tapi tetep bahaya. Keramik lantai gerak"". Makanan kurang enak, nasi goreng gosong tetap disajikan parah banget. Minuman jus tidak dingin."
wawan kartiwan,1/5,5 bulan lalu di,Makanann khas..Jogja ada manis manisnya..
Aryo Febrian,1/5,2 tahun lalu di,"Cukup kecewa dengan attitude buruk yang ditunjukkan oleh para security yang sedang bertugas. Jujur, sangat tidak pantas sikap tersebut ditunjukkan kepada pengunjung hotel. …"
Riana Yit,1/5,4 tahun lalu di,"Meja penerimaan ramah, kamar bagus, nyaman
TAPI...
PAS CEKOUT SANGAT MENGECEWAKAN …"
Muji Rah,1/5,setahun lalu di,Kamarnya kotor sangat kecil handuk sdh robek2 ga sesuai harga yg mahal dapat kamar kecil dan kotor
Naim Wae,1/5,4 tahun lalu di,"hotelnya rekomen banget, fasilitas OK, lokasi juga deket ke malioboro. tingga jalan saja g terlalu lama sudah sampek.
hanya tempat makan paginya yang terasa kurang luas.
tapi pilihan memnunya OK anget."
pria hitam,1/5,3 tahun lalu di,"Masak iya, hotel bintang 3 listrik nya sempat mati 3x..
Lebih ditingkatkan lagi lah.. khususnya hal sepele listrik, soalnya gedung tinggi. Kalau mati nanti lift nya kalau dalam kondisi ada orang gmn."
Hartinah Ika Yulianti,1/5,2 tahun lalu di,"Tempat lumayan, karena memang hotel tidak luas. Untuk parkiran mobil dan motor sempit, tidak ada bastment untuk parkiran, satpam kurang ramah"
Hendrik,1/5,5 tahun lalu di,"sering nginep disini, mungkin udah 4-5 kali, terakhir nginep disini, dapat pengalaman buruk, setelah checkout, ada noda di kasur/selimut agak lupa , noda betadine cair yang dibilang sama receptionist itu darah, padahal dikasih air aja bisa …"
avatar avatar,1/5,4 tahun lalu di,Not recomended😔 koridor bau tak sedap kamar mandi tak ada pintu or gordyn pembatas dan resepsionis yg tak bisa mengucap maaf walaupun jelas kesalahan dimereka ttg kecerobohan penyediaan kamar …
Dody harris darmawan,1/5,setahun lalu di,"Peralatan kamar mandinya banyak yg bermasalah, AC bocor. Plus deh"
Safitri Mila,1/5,2 tahun lalu di,"Baru pertama kali ini menghadiri pernikahan di hotel tetapi kehabisan piring dan sendok, bahkan di semua stand makanan 🥲 …"
Sayogi88 Yogi,1/5,10 bulan lalu di,"Sarapan pagi ngantri, udah kayak sembako bansos"
Imam Priyadi,1/5,4 tahun lalu di,Pintu keluar terlalu curam. Mobil saya bemper depannya kena tanah. Bukan hanya sekali dua kali
ressa Monika,1/5,2 tahun lalu di,"JANGAN PERNAH NGINEP DI SINII!!!

GAK WORTH IT BANGETT. PERCAYA DEHH, KALIAN BAKAL NYESEL NGINEP DI SINI"
asbar anas,1/5,11 bulan lalu di,Gak bs merokok di room
Brahmantya surya,1/5,2 tahun lalu di,Ac tidak dingin exhause tidak nyala ampun panas banget
ambar krisnani,1/5,5 tahun lalu di,Hotele kecil bgt...sangat tidak nyaman dan ribet.
I Made Sudarmayasa,1/5,5 tahun lalu di,"Breakfast lambatt, nasi masih mentah."
ZYCOM,1/5,2 tahun lalu di,"Katanya ngilangin anduk 1
😡 …"
exsan arsitek,1/5,5 tahun lalu di,"Sempit, dekat tugu jogja,  punyabya pegadaian"
Arif Januarianto,1/5,6 tahun lalu di,Busuk service tidak memuaskan
Gunawan Deny,1/5,5 tahun lalu di,Lumayan nyaman
Borhan Maulana,1/5,4 tahun lalu di,Karya Say
maman dermawan,1/5,2 tahun lalu di,Kotor dan bau
Edisukro Android,1/5,5 tahun lalu di,Parkiran sempit
My Share,1/5,4 bulan lalu di,"Untuk kamar, saya sangat kecewa dengan housekeeping di hotel ini. ""Clean room"" bagi mrk hanya mengganti aqua baru namun tidak mengganti kacamata dengan yang baru. Dengan kata lain, pelanggan diminta mencuci sendiri. Teh dan kopi bekas tidak …"
Septarisa Daisy Vitrianty,1/5,7 bulan lalu di,"Kamar sangat kecil & tidak terawat dengan baik, tekanan air rendah di kamar mandi, seprai berlumuran darah, AC di lobi jauh lebih dingin daripada di kamar, sarapan rata-rata dan siap jika preferensi kamar Anda diabaikan meskipun Anda …"
Nhaz Montana,1/5,setahun lalu di,"Pengalaman terburuk menginap di hotel.

1. …"
the icebear,2/5,4 bulan lalu di,"Menginap 2 malam disini, kurang ok lah, nothing special, selain keramahan staffnya..
Breskfast B aja, monoton.. Taste kurang, variasi dikit, terutama utk minumannya, …"
Slamet Nurhadi Sumarno,2/5,sebulan lalu di,"Tempat cukup strategis, breakfastnya cukup menggugah selera, kamar ok, hanya air sower kurang kenceng."
Wayfarer World,2/5,7 bulan lalu di,"saya cukup kecewa ketika pergi ke tempat ini. jadi, saya memesan kamar di hotel ini. hanya saja, saya kurang disambut dengan baik oleh satpam yang ada di hotel ini. bagaimana tidak? ketika saya datang, saya kesulitan mencari area parkir, …"
Muthi Asih,2/5,setahun lalu di,"Lokasi strategis ditengah kota. Akses di pinggir jalan utama tugu jogja. Sayangnya AC kamar bocor, kamar mandi tidak ada pembatas antara shower dan toilet, jadi kamar mandi sangat becek. Exhaust nya juga tidak cepat mengeringkan kamar …"
daisy yeah,2/5,setahun lalu di,"Saya sengaja memilih hotel ini karena di keterangan tersedia lemari es di kamar (karena sy bawa obat yg harus masuk lemari es). Rupanya yg ada di kamar bukan lemari es tp cmn tempat penyimpanan makanan yg ga dingin, jd harus tetep nitip di …"
Bambang Priyono,2/5,setahun lalu di,"Kurang nyaman nginep disini, karena kulkas Rusak tidak bisa dingin, Tivi kabel tidak tersedia (hanya bs lihat iklan Khas Tugu). …"
Fadilla Fitri,2/5,setahun lalu di,baru pertama kali nginep di hotel dan mau minjem sendok garpu malah disuruh turun dan ambil sendiri dibawah karena restoran sudah tutup🥲 ac kamar berisik dan suka bunyi2 walau dingin …
Srihayati Agustina,2/5,setahun lalu di,"Cleanliness sangat kurang, saya stay di kamar 329 lantai Kotor, kecoa keluar Dari bawah mini bar, bathroom banyak rambut Dan banyak semut,
Facilities juga sangat tidak mendukung TV tidak bisa di tonton karena semua …"
Dandi Aditya,2/5,setahun lalu di,"Kamarnya bau penguk, pesen diagoda kingbed dapetnya twin bed padahal bayar untuk kingbed alasan mereka tidak terhubung dengan agoda dan gak bisa bantu komplain, staf kurang ramah, sarapan biasa aja"
niluh purba,2/5,2 tahun lalu di,"Kamar sempit tambah bed jaga kesan dipaksakan ubin ada yang pecah lantai tampak buram dan kotor wastafel buntu aliran air kecil ,satpam tidak ramah saat awal datang parkir cari sendiri disuruh di belakang padahal di depan pintu masuk ada parkir kosong"
harkat rofiah,2/5,4 tahun lalu di,"kecewa sama layanannya
Pas mau cek in kan dimintain ktp, terus disuruh ttd apalah itu. abis itu suruh nunggu, jam 2 baru bisa masuk kamar katanya, oke ditunggu …"
Trabasss Worr,2/5,setahun lalu di,Kamarnya biasa banget. Buffetnya ramai.. ini hotel kebanyakan wisatawan bus
Kevin Alexander,2/5,setahun lalu di,"Kurang bersih.. Toilet banyak debu & lumut.. Gelas minum di kamar, berkerak"
pradipta dina laksmintari,2/5,6 tahun lalu di,"Kecewa! Booking meeting room sdh 2 mgg yg lalu,sudah DP,sudah mnta book by system, 2 hari sebelum hari H, dicancel sm pihak hotel,dgn alasan sudah keduluan yg lain,ga profesional yah utk sekelas pesonna tugu."
mardwi yanto,2/5,5 tahun lalu di,payah nih hotel nggak kasuan sm supir yg nganter tamu nya yg nginap di hotel ini masa nggak boleh mandi buat apa di bikin kamar mandi mending nih hotel tutup aja 4 hari sy nginap tp nggak boleh mandi tuh tulisan nya besar di depan pintu kamar mandi
Madriani 1971,2/5,4 tahun lalu di,"Kamar kecil, makanan kurang variasi..dan layanan house kipping kurang rapi."
lita andiyani,2/5,5 tahun lalu di,"Hotelnya minim ruang terbuka,  masakannya kurang enak"
viko kris,2/5,2 tahun lalu di,Parkir sempit... Petugas parkir kurang ramah dan responsif
Dyah Nisa,2/5,3 tahun lalu di,Utk pembuangan tempat cuci tangan wastafelnya mampet
homestay di jogja,2/5,6 tahun lalu di,Bau toilet liftnya
Setyawan Widodo,2/5,4 tahun lalu di,Lokasi agak jauh.kamar kecil .
meirina silviana Dewi,2/5,2 tahun lalu di,Pelayanan tidak bagus
Gunawan Muhammad,2/5,5 tahun lalu di,Kmr kecil dan pndek..
Khansa Ulayya Channel,2/5,6 tahun lalu di,Nyaman
Fajar Haryadi,2/5,4 tahun lalu di,"Kamarnya nyaman. Tapi kolam renangnya dekat sekali dengan area merokok. Ketika saya check out lebih awal sekitar jam 4 pagi, mereka tidak bisa memberi saya sarapan karena saya memesan satu hari sebelumnya. Teman saya mendapat kamar yang berbeda dengan kamar yang dia pesan."
dirmawan hatta,2/5,4 tahun lalu di,"Hotel ini memiliki area parkir yang sangat terbatas, yang merupakan situasi yang umum terjadi di sebagian besar Hotel Yogyakarta. Yang membuat saya kecewa adalah petugas parkir sepertinya bersikap ""bukan masalah saya"". Mereka tampak enggan …"
Pargus Widodo,2/5,6 tahun lalu di,Bagus
Medina Fatimah,2/5,4 tahun lalu di,Kamarnya kecil
Dini Tiara Deasiana,1/5,2 hari lalu di,"Kacau bfast nya ngasal, gaenak. Kamar mandinya jorok dan agak bau... WC nya ga di sikat/dibersihkan dgn baik. JIJIK, banyak bintik2 orang bekas pup.. pinggiran WC juga hitam2 seperti tidak disikat dengan baik. Kamar mandi gaada shower utk …"
Putri Azza,1/5,3 bulan lalu di,"Kalau dapet harga murah, jangan menginap disini. Pertama kali datang, satpam tidak membantu membawakan barang padahal dia ada didepan, jadi dari checkin sampai check out ga dibantu bawa barang padahal barang saya cukup banyak dan saya bawa …"
Bachrudin 31,1/5,4 bulan lalu di,"Sudah tau sy bawa barang banyak, petugasnya cuma lihat saja gak ada inisiatif membantu, security didepan juga gak responsif, AC dikamar Berisik dan Gak dingin"
Hery Wong,1/5,4 bulan lalu di,Ini kedua kalinya menginap di sini. Kualitas kamarnya semakin menurun. Bau. Dan Ac nya tidak dingin
-__-,1/5,3 bulan lalu di,"Ac bocor minta baskom gk dikasih malah disuruh nunggu teknisi, teknisi berkali kali datang tapi AC masih tetap bocor"
Athariz Saputra,1/5,7 bulan lalu di,"Baru kali ini nginep POP hotel (Timoho) bikin kecewa. nginep 30 Sept - 1 okt 2023.
Mau pergi sarapan di tanyain Kunci, (padahal blm Check out), kita udah Check out …"
Your Mind,1/5,5 bulan lalu di,"udah pesan h-7 tapi di pindah lantai dan kamar
cihhh, gada kompensasi apa apa lagi
dengan alasan ""dipakai rombongan"""
Kornelius Reynaldo,1/5,setahun lalu di,"Kamar sempit, pintu kamar mandi tidak ada kuncinya, tidak disediakan peralatan untuk sikat gigi, tidak ada sandal, tidak ada pemanas air, handuknya bau kurang sedap, handle shower rusak, suara dari luar kamar keras terdengar sampai dalam, AC rusak jadi panas sekali. Mengecewakan!"
Anne Kirana Putri,1/5,setahun lalu di,"Kecewa dengan pelayanan dari pihak hotel karena kebijakan dari managemennya. saya pesen 3 malam tetapi 1 malam saya tidak pakai karena lain hal tetapi dari pihak hotelnya tidak ada solusi, jadi 1 malam mubazir tidak ada yang pakai. Tidak …"
Christopher Rangga,1/5,setahun lalu di,"pertama, pintunya susah dibuka, katanya batrainya habis.
kedua, masa pengunjung dikasih kamar yg alat pencet bidetnya rusak, terus harus nunggu dibenerin dulu. kurang wangi lagi ruanganya, bau apek."
Penikartika _,1/5,setahun lalu di,"Hari kamis kemarin waktu saya menginap bersama suami saya, kami berdua tidak bisa tidur nyenyak karena ada bau yg sangat menyengat dan itu seperti menyan. Saya dan suami saya merasa sangat terganggu dan tidak tahu asalnya darimana.
Saya heran ini hotel atau kuburan"
pambudi raharjo,1/5,setahun lalu di,"4 tahun yang lalu hotel ini sangat bagus kualitasnya, tapi sekarang , KESALAHAN FATAL Hotel adalah memberikan tamu kamar yang AC nya RUSAK ke tamu. dan itu ada di kamar 919.   jendela tidak bisa dibuka dan AC rusak. parah banget. apa nggak …"
Sherlyn Eka,1/5,setahun lalu di,"kamar mandie ga ada kunci, sikat gigi juga ga disedia in, cuma ada sabun bulet kecil sm sampo sachet, sandal hotel ga ada, handukny bau, air minum botol cuma di kasi sekali pas awal masuk, lantai e aga kotor …"
Mafrukhi Hanif,1/5,2 bulan lalu di,airnya keruh gabisa buat mandi
chetiii x,1/5,setahun lalu di,"Hotel POP di Jogja harganya termahal di indonesia dibandingkan Pop di Bali, Jakarta, dan kota kota lain. di Bali harga kamar hotel Pop rata rata 200 ribuan. di jogja bisa 500 ribu sampai 700 ribuan. gile benerrrr padahal kamar sama aja minim fasilitas,  seharga kamar hotel bintang 4 + breakfast"
Widi Widi,1/5,2 tahun lalu di,"Baru masuk kamar 30 menit kran air jebol. Setelah dibenerin, gantian air ac ngocor. Water heater tidak berfungsi. Not recommend at all"
Sella,1/5,setahun lalu di,"Untuk kamar kotor
Perlengkapan pasta gigi harus beli ,, tidak di sediakan,, aneh bgt bru kali ini dan harus berbayar 20 ribu."
kiki retnowati,1/5,5 tahun lalu di,"Sebenarnya dengan harga yg saya pesan kamar sdh ckp lumayan.
Yg perlu saya komentari adalah,
1. Saya tdk dapat sandal hotel …"
Salwa Maulidina Putri,1/5,setahun lalu di,"gak banget pokok nya, gaada pembuat kopi, gadikasih air dikamar, handuknya bau, pintu kamar mandinya gaada kuncinya, sarapan nya badbgt"
Harun MJ,1/5,9 bulan lalu di,"Tidak sesuai gambar, ada gambar kolam renang ternyata tidak ada , makanan juga sangat terbatas ,"
LIA CENTRAL UTAMA,1/5,2 tahun lalu di,Odol dan sikat gigi harus beli padahal produk dari hotel. Terlihat jelas tidak profesional manajemen nya. Minta smoking room harus tambah 50rb.
Larasati Larasras,1/5,2 tahun lalu di,Kecewa juga menyesal nginap di hote ini.kamar sempit.kamar mandi sempit.handuk kayak kopok.harga mahal tidak ada ruang kamar yg boleh merokok.kopi juga mahal.gedung bagus ..kamar gak bagus.fasilitas gak bagus
cleo rora,1/5,4 tahun lalu di,"Kecewa,saya sudah menginap disini sehari.lalu paginya saya mau memperpanjang kena harga 278rb.oke deal saya perpanjang.tapi saya minta bayar habis jumatan sekalian makan siang keatm uangnya.masak sekitar jam 11 bayarnya dikabari berubah …"
Loro Lestari 2205446,1/5,setahun lalu di,"Kecewa banget sama pelayanan nya sama ka fasilitas hotel nya masa sepre, selimut dan bantalnya kucel"
Dicky Utama Putra,1/5,4 tahun lalu di,Pelayanan nya sangat jelek banget saya sangat kecewa..saya memesan kamar lewat agoda smooking room semua kamar nya eh pas cek in kok jd ga no smooking room semua kamar nya parah jangan ada yg mau nginap d sini
Widianto Channel (GUDANG ILMU),1/5,4 tahun lalu di,"Waktu nginap tidak dapat handuk,sikat Gigi Dan pasta Gigi. Hanya dapat sabun Dan shampoo. Padahal dengan harga segitu d hotel lain di yogya dapat fasilitas lengkap"
Nita Yuliyanti,1/5,5 tahun lalu di,"Menu makanan nya tidak sekelas hotel..  Bisa di bilang seperti warteg..  Untuk ukuran menu buka bersama @person 65.000 mengecewakan..  Rekomended fave hotel, grand dafam, grand ambarukmo,ato hotel lainnya"
Erwin Soepai,1/5,6 tahun lalu di,"Sangat mengecewakan pelayanan kebersihannya,dlm 2 hari setiap (15-16pm)plg,kamar blm dibersihkan dg alasan kl mau cpt hrs minta dl..sprei jg tdk ganti tiap hari,(bekas kotor yg sm msh ada).."
Alquran House,1/5,2 tahun lalu di,"Pakaian ketinggalan saat checkout, namun officer receptionist mengatakan tidak ada yang tertinggal di kamar"
