Name,Rating,Date,Review,Sentiment,Processed_Review
Sri Suratno,1,setahun lalu di,"Sekuriti tidak mengerti tugasnya, urusan parkir buruk; tamu dibiarkan cari tempat parkir sendiri",-1,sekuriti erti tugas urus parkir buruk tamu biar cari parkir
Rachmadita Kusumastiti,1,4 tahun lalu di,"Renovasinya sangat menganggu, tinggal di lantai yg direnovasi rasanya berdebu sampai ke kamar. Cukup sedih karena ekspektasi istirahat dengan tenang gugur seketika.",-1,renovasi menganggu tinggal lantai yg renovasi debu kamar sedih ekspektasi istirahat tenang gugur
burhanundin Y U,1,setahun lalu di,"Ac bocor, kamar mandi mampet, kulkasnya mati, dan bantalnya uda kempes",-1,ac bocor kamar mandi mampet kulkas mati bantal uda kempes
Dyar Ludruk,1,4 tahun lalu di,Terlalu ketat untuk satpamnya.. pelayanan kurang bagus.. baru kali ini saya suruh nunggu diluar hotel.. sangat buruk bagi saya untuk hotel ini.. terima kasih,-1,ketat satpam layan bagus kali suruh nunggu luar hotel buruk hotel terima kasih
Fery W,1,2 tahun lalu di,"Jam 9 malam tlp, tanya harga 450k, pasa datang jam 01.00, harga jd 500k..",-1,jam 9 malam tlp harga 450k pasa jam 0100 harga jd 500k
FADILLAH KIROM,1,3 tahun lalu di,Makannya kurang enak dan dianter dikamar.  Not recommended,-1,makan enak anter kamar not recommended
Renati Dina,1,5 tahun lalu di,security yang tidak ramah tidak dapat menghargai orang.. ! gapunya sopan santun,-1,security ramah harga orang gapunya sopan santun
Dudung R,1,5 tahun lalu di,Belum waktunya cek-out listrik sdh dimatikan ð¥ â¦,-1,cekout listrik sdh mati  
youvanii,1,setahun lalu di,kurang memuaskan,-1,muas
Ratih S_ GriyaArtaTriwedari,1,2 tahun lalu di,Pelayanan resepsionis perlu ditingkatkan,-1,layan resepsionis tingkat
yusuf oktofani,1,6 tahun lalu di,Kasur keras,-1,kasur keras
Li Lian Yang,1,4 bulan lalu di,"WiFi sangat buruk sehingga saya bahkan tidak dapat menyambungkannya setelah beberapa kali mencoba. Ada noda dimana-mana (handuk, sprei, ubin toilet). AC kurang dingin dan ruangan gelap. Kedap suara jendelanya buruk, saya bisa mendengar â¦",-1,wifi buruk sambung kali coba noda dimanamana handuk sprei ubin toilet ac dingin ruang gelap kedap suara jendela buruk dengar 
Michael Kump (Tarqueth),1,5 tahun lalu di,Saya benci meninggalkan ulasan buruk. Saya biasanya akan berusaha memanfaatkan situasi apa pun secara positif. Sayangnya saya tidak bisa memberikan ulasan yang bagus ketika kesehatan menjadi masalah. â¦,-1,benci tinggal ulas buruk usaha manfaat situasi positif sayang ulas bagus sehat 
Clara Visia Padmasari,1,3 tahun lalu di,"Oke, inilah definisi sebenarnya dari apa yang disebut budget hotel. Ponsel saya tidak berfungsi di kamar hotel, saya harus turun. Mereka mendapat sambutan di sana, namun mereka hanya cukup baik. Cukup banyak noda yang terlihat di kasur ðð â¦",-1,oke definisi budget hotel ponsel fungsi kamar hotel turun sambut noda kasur  
MichelleIce,1,4 tahun lalu di,"Saya memesan 2 kamar deluxe untuk sehari, karena saya salah memesan tanggal untuk kamar mewah saya di hotel yang sama. Nah, inilah yang saya alami sepanjang malam: â¦",-1,mes 2 kamar deluxe hari salah mes tanggal kamar mewah hotel alami malam 
Teria Anarghati,1,setahun lalu di,Nama pengguna dan kata sandi wifi yang mereka berikan saat kami check-in tidak berfungsi!! Sangat buruk.. tidak stabil!!,-1,nama guna sandi wifi checkin fungsi buruk stabil
andreas ap,1,setahun lalu di,"Tidak terlalu bersih, layanan VS tarifnya tidak layak sama sekali, wifi sangat buruk",-1,bersih layan vs tarif layak wifi buruk
Soffian Joyopranoto,1,6 tahun lalu di,Hanya untuk menyimpan tas Anda,-1,simpan tas
alby alby,1,5 tahun lalu di,Tempat yang bagus untuk menginap di jogya,-1,bagus inap jogya
Sudi Pratikno,2,4 bulan lalu di,"Hotel cukup buruk. Tidak ada tempat wudhu (kran). Kamar 619 tidak terkena pancaran wifi, wifi sering trouble. Gorden banyak debu, ada kawan sampai alergi bersin-bersin. Kaca tidak dapat dibuka.",-1,hotel buruk wudhu kran kamar 619 kena pancar wifi wifi trouble gorden debu kawan alergi bersinbersin kaca buka
agustin nanda,2,7 bulan lalu di,"Pelayanannya sangat lamban.
Check in jam setengah 3 dan diinfokan blm ada handuk dan akan segera di antar. Tp sampe setengah 4 handuk br datang â¦",-1,layan lamban check in jam 3 info blm handuk tp sampe 4 handuk br 
Bebek Yangti,2,2 tahun lalu di,"Nginep 3 hari for work, Dan aku baru pengalaman kalo ada hotel dg kasur sekeras ini. Bahkan oyo lebih empuk. Dan tryt bukan cuma kamar ku tp jg kamar temen laim. Please lah, murah sih murah tp kan kunci utama hotel untuk istrhat tp we can't really enjoy your room. So bad",-1,nginep 3 for work alam kalo hotel dg kasur keras oyo empuk tryt kamar ku tp jg kamar temen laim please murah sih murah tp kunci utama hotel istrhat tp we can really enjoy your room so bad
Muhammad Iqra,2,5 tahun lalu di,"Bagi saya pribadi hotel ini tidak terlalu bagus ada banyak hal yang saya nilai.

Pertama tempat parkir basementnya sangat sempit dan tidak ada yang mengatur â¦",-1,pribadi hotel bagus nilai parkir basementnya sempit atur 
Raden Ovian,2,3 tahun lalu di,"LUAR :
- Hotel berlokasi di jalan searah
- Belakang mall GALERIA â¦",-1,hotel lokasi jalan arah mall galeria 
Fitri Riyayanti,2,5 tahun lalu di,Pengalaman mnginap disini sudah bebrapa x dengan keluarga... tp 2018 in yang mengecewakan... fasilitas kamar yg kurang diperhatikan kadaannya... menu sarapan nya terkesan se adanya saja.. jauh dr ekspektasi.. dan jauh menurun dr pengalaman2 â¦,-1,alam mnginap bebrapa x keluarga tp 2018 in kecewa fasilitas kamar yg perhati kada menu sarap nya kes dr ekspektasi turun dr pengalaman2 
Larasati Chairul,2,7 tahun lalu di,hotelnya lumayan pelayanan kurang ok pas udah check out selesai disuruh bayar charge karena sprei agak kotor disuru bayar 50000 bukannya pas check out ini malah disuru check out pas kita udah ninggalin hotel ga responsible banget,-1,hotel lumayan layan ok pas udah check out selesai suruh bayar charge sprei kotor disuru bayar 50000 pas check out disuru check out pas udah ninggalin hotel ga responsible banget
ADP,2,6 tahun lalu di,Nama hotel ini lebih cocok disebut budget hotel. Nuansa yang ingin ditonjolkan kurang kuat untuk sebuah boutique hotel. Sarapannya kurang menarik dan persediannya kurang.,-1,nama hotel cocok budget hotel nuansa tonjol kuat boutique hotel sarap tarik dian
irwan dew,2,setahun lalu di,Utk makan pagi kurang nyaman jdi kami hny ambil snack & kopi,-1,utk makan pagi nyaman jdi hny ambil snack kopi
Achmad Teguh Pribadi,2,6 tahun lalu di,"Apakah jogja akan penuh dengan bangunan hotel bertingkat..., dimana mayarakat jogja, apakah wong jogja sudah tergusur ke pinggiran... Atau mereka sudah habis ditelan jaman... Sehingga jogja hanya untuk orang"" metropolitan dengan budaya barat... Ning ndie jogjamu....",-1,jogja penuh bangun hotel tingkat mana mayarakat jogja jogja gusur pinggir habis tel jaman jogja orang metropolitan budaya barat ning ndie jogjamu
james,2,3 tahun lalu di,"bantal bau apek , sprei jg kotor . lahan parkir terbatas",-1,bantal bau apek sprei jg kotor lahan parkir batas
Local Guide Fotografer,2,7 tahun lalu di,"Butik hotel tengah kota. Lokasi tengah kota asilitas, servis cukup menurut saya dan harganya sesuai",-1,butik hotel kota lokasi kota asilitas servis harga sesuai
Mushib Razak,2,3 tahun lalu di,"Parkiran nya terbatas, kamar hotel nya kecil",-1,parkir nya batas kamar hotel nya
Muhammad Afrizal,2,6 tahun lalu di,"Hotel sangat kecil, parkiran sempit, kamar sangat kotor",-1,hotel parkir sempit kamar kotor
Lintang Dianiratri,2,5 tahun lalu di,Fasilitas kamar tidak berfungsi dengan baik,-1,fasilitas kamar fungsi
Nurhayati Dayatama,2,6 tahun lalu di,Hotel baru. Sering digunakan untuk legiatan pemerontah kota.,-1,hotel legiatan peron kota
irfa darojat,2,3 tahun lalu di,"Sabun habis, kram rusak",-1,sabun habis kram rusak
Vincensius Galih,2,4 tahun lalu di,Airnya mati,-1,air mati
Grace Wilhelmina Zefanya,2,4 bulan lalu di,"Wifinya sangat buruk, saya bahkan tidak bisa terhubung. parahnya AC tidak dingin sama sekali. mohon segera diperbaiki.",-1,wifinya buruk hubung parah ac dingin mohon baik
M. Park (Joseph),2,3 bulan lalu di,"Tidak ada pisau cukur yang dibuang, tidak ada sampo, tidak ada bilas",-1,pisau cukur buang sampo bilas
Your Star,2,2 tahun lalu di,"Saya sangat menyesal toilet Anda tidak bisa menyiram dengan baik. Dan kamar mandinya berbau tidak sedap. Saya juga melihat 2 serangga di tempat tidur. Mohon maaf sekali atas ulasannya. Lokasi sangat bagus, tapi mohon ditingkatkan lagi pelayanan dan fasilitas hotelnya.",-1,sesal toilet siram kamar mandi bau sedap 2 serangga tidur mohon maaf ulas lokasi bagus mohon tingkat layan fasilitas hotel
Kristi Ham,2,4 tahun lalu di,"Kamarnya sebenarnya bagus dan bersih. Tapi kami mengambil kamar untuk 3 orang. Salah satu yang ekstra buruk HARUS memiliki selimut atau tempat tidur yang asli, bukan hanya sprei yang super duper ringan. Saya tidak bisa tidur sepanjang malam â¦",-1,kamar bagus bersih ambil kamar 3 orang salah ekstra buruk milik selimut tidur asli sprei super duper ringan tidur malam 
Tegoeh â3DÃ¶tâ Raswidhyantoro,2,3 tahun lalu di,Memesan Kamar Keluarga (4 Dewasa + 2 Anak) akhir Februari 2020 dan kamarnya ternyata hanya deluxe atau mungkin kamar superior dengan 2 tempat tidur tambahan sempit ... â¦,-1,mes kamar keluarga 4 dewasa 2 anak februari 2020 kamar deluxe kamar superior 2 tidur tambah sempit 
Adhi Pramono,2,3 tahun lalu di,"saluran tivi internasional tidak berfungsi.. sangat berisik dari kamar sebelah, jam 2 pagi mereka mengetuk dinding dan mengerang seperti kuda ð â¦",-1,salur tivi internasional fungsi berisik kamar belah jam 2 pagi ketuk dinding erang kuda  
Christopher E. Thenadi,2,5 tahun lalu di,"Cukup buruk untuk harganya, mengingat persaingannya. Tempat tidur sangat sulit.",-1,buruk harga saing tidur sulit
Lanang Putra,2,6 tahun lalu di,"Tempat tidur yang sehat, tempat tidur yang sangat keras",-1,tidur sehat tidur keras
Esti Mahestu,2,6 tahun lalu di,Tempat tidur yang keras,-1,tidur keras
Nia Primastiti,2,4 tahun lalu di,Pengalaman buruk,-1,alam buruk
Dedy Hartanto,1,2 minggu lalu di,"Kamar kecil terasa sumpek, seperti hotel bintang 2. kasur terlalu empuk, badan dan leher sakit semua, suara luar sangat terdengar. Saya kebangun berkali-kali oleh suara orang di lorong, jam 2 pagi. Baru kali ini sangat benci pengalaman â¦",-1,kamar sumpek hotel bintang 2 kasur empuk badan leher sakit suara dengar bangun berkalikali suara orang lorong jam 2 pagi kali benci alam 
redup,1,4 bulan lalu di,"Makanannya enak yg dulu banget pas pertama kali bulan januari kesana, makanannyaa ber variasi banyakk dan tidak monoton
Untuk kamar masih sama â¦",-1,makan enak yg banget pas kali januari kesana makanannyaa ber variasi banyakk monoton kamar 
Farenhes,1,11 bulan lalu di,"Hotel terburuk yg pernah saya jumpai dari segi pelayanan,fasilitas,makanan,parkir dll
Saya tidak menemukan senyum dari pelayan/budak hotel & tidak ada menyapa â¦",-1,hotel buruk yg jumpa segi pelayananfasilitasmakananparkir dll temu senyum pelayanbudak hotel sapa 
vidia widya,1,setahun lalu di,"Terimakasih atas 2 malam nya yang membuat saya bilang huf terus, berikut beberapa hal yang bisa jadi pertimbangan agar hotel bisa lebih baik:
1. Kamar tidak memiliki lampu utama. Jadi kalau malem selamat beredup2 ria. â¦",-1,terimakasih 2 malam nya bilang huf timbang hotel 1 kamar milik lampu utama malem selamat beredup2 ria 
Nda 060,1,setahun lalu di,"Lokasi hotel strategis , kondisi saat kita check in pantai kamar Kotor ,bantal bau , perlengkapan kamar mandi di hari pertama lengkap , di hari ke 2 dan ke 3 tidak di Refill!kamar juga sedikit bau. Untuk menu breakfast enak, tapi yang di â¦",-1,lokasi hotel strategis kondisi check in pantai kamar kotor bantal bau lengkap kamar mandi lengkap 2 3 refillkamar bau menu breakfast enak 
Ozil Purba,1,setahun lalu di,"Kami rombongan Datang dr sampai jam 13.30 wib tapi kamar blm siap seharusnya untuk kamar rombongan sdh di siapkan Krn biasanya checkout jam 12 siang ,membersihkan kamar 1 jam jadi jam 13.00 kamar sdh siap .tapi kami msh harus menunggu â¦",-1,rombong dr jam 1330 wib kamar blm kamar rombong sdh siap krn checkout jam 12 siang bersih kamar 1 jam jam 1300 kamar sdh msh tunggu 
Bams Raqila,1,setahun lalu di,"Kami menginap 2 malam,
Namun sangat kecewa karna Wifi tidak bisa diakses dari kamar kami.
Namun saat di lobby akses wifi normal. Selain itu kamar tidak mendukung TV â¦",-1,inap 2 malam kecewa karna wifi akses kamar lobby akses wifi normal kamar dukung tv 
Baresi Putra,1,2 tahun lalu di,"Dengan harga segitu sangat ngga worth it, kamar sangat kecil. Kamar mandi jadi banyak genangan air karna penutup pintu hanya setengah. Apa lagi breakfast, sangat mengecewakan sangat sederhana. Sering kali telat mengisi ulang makanan atau â¦",-1,harga segitu ngga worth it kamar kamar mandi genang air karna tutup pintu breakfast kecewa sederhana kali telat isi ulang makan 
Nonie Miranto,1,2 tahun lalu di,"maaf ya hotel Khas tugu,saya kecewa sekali..kami atas nama Agus miranto menginap 2 malam dr tgl 5 -7 may kamar 522 dan 526,pada saat breakfast pagi,ternyata kami tdk boleh masuk restoran,nama kami tidak termasuk breakfast,ternyata data blm â¦",-1,maaf ya hotel khas tugusaya kecewa sekalikami nama agus miranto inap 2 malam dr tgl 5 7 may kamar 522 526pada breakfast pagiternyata tdk masuk restorannama breakfastternyata data blm 
Nathan Kent,1,2 tahun lalu di,"Lantai kamar mandi licin banget, walaupun sudah ada notice tapi tetep bahaya. Keramik lantai gerak"". Makanan kurang enak, nasi goreng gosong tetap disajikan parah banget. Minuman jus tidak dingin.",-1,lantai kamar mandi licin banget notice tetep bahaya keramik lantai gerak makan enak nasi goreng gosong saji parah banget minum jus dingin
wawan kartiwan,1,5 bulan lalu di,Makanann khas..Jogja ada manis manisnya..,-1,makanann khasjogja manis manis
Aryo Febrian,1,2 tahun lalu di,"Cukup kecewa dengan attitude buruk yang ditunjukkan oleh para security yang sedang bertugas. Jujur, sangat tidak pantas sikap tersebut ditunjukkan kepada pengunjung hotel. â¦",-1,kecewa attitude buruk security tugas jujur sikap unjung hotel 
Riana Yit,1,4 tahun lalu di,"Meja penerimaan ramah, kamar bagus, nyaman
TAPI...
PAS CEKOUT SANGAT MENGECEWAKAN â¦",-1,meja terima ramah kamar bagus nyaman pas cekout kecewa 
Muji Rah,1,setahun lalu di,Kamarnya kotor sangat kecil handuk sdh robek2 ga sesuai harga yg mahal dapat kamar kecil dan kotor,-1,kamar kotor handuk sdh robek2 ga sesuai harga yg mahal kamar kotor
Naim Wae,1,4 tahun lalu di,"hotelnya rekomen banget, fasilitas OK, lokasi juga deket ke malioboro. tingga jalan saja g terlalu lama sudah sampek.
hanya tempat makan paginya yang terasa kurang luas.
tapi pilihan memnunya OK anget.",-1,hotel rekomen banget fasilitas ok lokasi deket malioboro tingga jalan g sampek makan pagi luas pilih memnunya ok anget
pria hitam,1,3 tahun lalu di,"Masak iya, hotel bintang 3 listrik nya sempat mati 3x..
Lebih ditingkatkan lagi lah.. khususnya hal sepele listrik, soalnya gedung tinggi. Kalau mati nanti lift nya kalau dalam kondisi ada orang gmn.",-1,masak iya hotel bintang 3 listrik nya mati 3x tingkat sepele listrik gedung mati lift nya kondisi orang gmn
Hartinah Ika Yulianti,1,2 tahun lalu di,"Tempat lumayan, karena memang hotel tidak luas. Untuk parkiran mobil dan motor sempit, tidak ada bastment untuk parkiran, satpam kurang ramah",-1,lumayan hotel luas parkir mobil motor sempit bastment parkir satpam ramah
Hendrik,1,5 tahun lalu di,"sering nginep disini, mungkin udah 4-5 kali, terakhir nginep disini, dapat pengalaman buruk, setelah checkout, ada noda di kasur/selimut agak lupa , noda betadine cair yang dibilang sama receptionist itu darah, padahal dikasih air aja bisa â¦",-1,nginep udah 45 kali nginep alam buruk checkout noda kasurselimut lupa noda betadine cair bilang receptionist darah kasih air aja 
avatar avatar,1,4 tahun lalu di,Not recomendedð koridor bau tak sedap kamar mandi tak ada pintu or gordyn pembatas dan resepsionis yg tak bisa mengucap maaf walaupun jelas kesalahan dimereka ttg kecerobohan penyediaan kamar â¦,-1,not recomended koridor bau sedap kamar mandi pintu or gordyn batas resepsionis yg ucap maaf salah mereka ttg ceroboh sedia kamar 
Dody harris darmawan,1,setahun lalu di,"Peralatan kamar mandinya banyak yg bermasalah, AC bocor. Plus deh",-1,alat kamar mandi yg masalah ac bocor plus deh
Safitri Mila,1,2 tahun lalu di,"Baru pertama kali ini menghadiri pernikahan di hotel tetapi kehabisan piring dan sendok, bahkan di semua stand makanan ð¥² â¦",-1,kali hadir nikah hotel habis piring sendok stand makan  
Sayogi88 Yogi,1,10 bulan lalu di,"Sarapan pagi ngantri, udah kayak sembako bansos",-1,sarap pagi ngantri udah kayak sembako bansos
Imam Priyadi,1,4 tahun lalu di,Pintu keluar terlalu curam. Mobil saya bemper depannya kena tanah. Bukan hanya sekali dua kali,-1,pintu curam mobil bemper depan kena tanah kali
ressa Monika,1,2 tahun lalu di,"JANGAN PERNAH NGINEP DI SINII!!!

GAK WORTH IT BANGETT. PERCAYA DEHH, KALIAN BAKAL NYESEL NGINEP DI SINI",-1,nginep sini gak worth it bangett percaya dehh nyesel nginep
asbar anas,1,11 bulan lalu di,Gak bs merokok di room,-1,gak bs rokok room
Brahmantya surya,1,2 tahun lalu di,Ac tidak dingin exhause tidak nyala ampun panas banget,-1,ac dingin exhause nyala ampun panas banget
ambar krisnani,1,5 tahun lalu di,Hotele kecil bgt...sangat tidak nyaman dan ribet.,-1,hotele bgtsangat nyaman ribet
I Made Sudarmayasa,1,5 tahun lalu di,"Breakfast lambatt, nasi masih mentah.",-1,breakfast lambatt nasi mentah
ZYCOM,1,2 tahun lalu di,"Katanya ngilangin anduk 1
ð¡ â¦",-1,ngilangin anduk 1  
exsan arsitek,1,5 tahun lalu di,"Sempit, dekat tugu jogja,  punyabya pegadaian",-1,sempit tugu jogja punyabya gadai
Arif Januarianto,1,6 tahun lalu di,Busuk service tidak memuaskan,-1,busuk service muas
Gunawan Deny,1,5 tahun lalu di,Lumayan nyaman,-1,lumayan nyaman
Borhan Maulana,1,4 tahun lalu di,Karya Say,-1,karya say
maman dermawan,1,2 tahun lalu di,Kotor dan bau,-1,kotor bau
Edisukro Android,1,5 tahun lalu di,Parkiran sempit,-1,parkir sempit
My Share,1,4 bulan lalu di,"Untuk kamar, saya sangat kecewa dengan housekeeping di hotel ini. ""Clean room"" bagi mrk hanya mengganti aqua baru namun tidak mengganti kacamata dengan yang baru. Dengan kata lain, pelanggan diminta mencuci sendiri. Teh dan kopi bekas tidak â¦",-1,kamar kecewa housekeeping hotel clean room mrk ganti aqua ganti kacamata langgan cuci teh kopi bekas 
Septarisa Daisy Vitrianty,1,7 bulan lalu di,"Kamar sangat kecil & tidak terawat dengan baik, tekanan air rendah di kamar mandi, seprai berlumuran darah, AC di lobi jauh lebih dingin daripada di kamar, sarapan rata-rata dan siap jika preferensi kamar Anda diabaikan meskipun Anda â¦",-1,kamar awat tekan air rendah kamar mandi seprai lumur darah ac lobi dingin kamar sarap ratarata preferensi kamar abai 
Nhaz Montana,1,setahun lalu di,"Pengalaman terburuk menginap di hotel.

1. â¦",-1,alam buruk inap hotel 1 
the icebear,2,4 bulan lalu di,"Menginap 2 malam disini, kurang ok lah, nothing special, selain keramahan staffnya..
Breskfast B aja, monoton.. Taste kurang, variasi dikit, terutama utk minumannya, â¦",-1,inap 2 malam ok nothing special ramah staffnya breskfast b aja monoton taste variasi dikit utk minum 
Slamet Nurhadi Sumarno,2,sebulan lalu di,"Tempat cukup strategis, breakfastnya cukup menggugah selera, kamar ok, hanya air sower kurang kenceng.",-1,strategis breakfastnya gugah selera kamar ok air sower kenceng
Wayfarer World,2,7 bulan lalu di,"saya cukup kecewa ketika pergi ke tempat ini. jadi, saya memesan kamar di hotel ini. hanya saja, saya kurang disambut dengan baik oleh satpam yang ada di hotel ini. bagaimana tidak? ketika saya datang, saya kesulitan mencari area parkir, â¦",-1,kecewa pergi mes kamar hotel sambut satpam hotel sulit cari area parkir 
Muthi Asih,2,setahun lalu di,"Lokasi strategis ditengah kota. Akses di pinggir jalan utama tugu jogja. Sayangnya AC kamar bocor, kamar mandi tidak ada pembatas antara shower dan toilet, jadi kamar mandi sangat becek. Exhaust nya juga tidak cepat mengeringkan kamar â¦",-1,lokasi strategis tengah kota akses pinggir jalan utama tugu jogja sayang ac kamar bocor kamar mandi batas shower toilet kamar mandi becek exhaust nya cepat ering kamar 
daisy yeah,2,setahun lalu di,"Saya sengaja memilih hotel ini karena di keterangan tersedia lemari es di kamar (karena sy bawa obat yg harus masuk lemari es). Rupanya yg ada di kamar bukan lemari es tp cmn tempat penyimpanan makanan yg ga dingin, jd harus tetep nitip di â¦",-1,sengaja pilih hotel terang sedia lemari es kamar sy bawa obat yg masuk lemari es yg kamar lemari es tp cmn simpan makan yg ga dingin jd tetep nitip 
Bambang Priyono,2,setahun lalu di,"Kurang nyaman nginep disini, karena kulkas Rusak tidak bisa dingin, Tivi kabel tidak tersedia (hanya bs lihat iklan Khas Tugu). â¦",-1,nyaman nginep kulkas rusak dingin tivi kabel sedia bs lihat iklan khas tugu 
Fadilla Fitri,2,setahun lalu di,baru pertama kali nginep di hotel dan mau minjem sendok garpu malah disuruh turun dan ambil sendiri dibawah karena restoran sudah tutupð¥² ac kamar berisik dan suka bunyi2 walau dingin â¦,-1,kali nginep hotel minjem sendok garpu suruh turun ambil bawah restoran tutup ac kamar berisik suka bunyi2 dingin 
Srihayati Agustina,2,setahun lalu di,"Cleanliness sangat kurang, saya stay di kamar 329 lantai Kotor, kecoa keluar Dari bawah mini bar, bathroom banyak rambut Dan banyak semut,
Facilities juga sangat tidak mendukung TV tidak bisa di tonton karena semua â¦",-1,cleanliness stay kamar 329 lantai kotor kecoa mini bar bathroom rambut semut facilities dukung tv tonton 
Dandi Aditya,2,setahun lalu di,"Kamarnya bau penguk, pesen diagoda kingbed dapetnya twin bed padahal bayar untuk kingbed alasan mereka tidak terhubung dengan agoda dan gak bisa bantu komplain, staf kurang ramah, sarapan biasa aja",-1,kamar bau kuk sen diagoda kingbed dapetnya twin bed bayar kingbed alas hubung agoda gak bantu komplain staf ramah sarap aja
niluh purba,2,2 tahun lalu di,"Kamar sempit tambah bed jaga kesan dipaksakan ubin ada yang pecah lantai tampak buram dan kotor wastafel buntu aliran air kecil ,satpam tidak ramah saat awal datang parkir cari sendiri disuruh di belakang padahal di depan pintu masuk ada parkir kosong",-1,kamar sempit bed jaga kesan paksa ubin pecah lantai buram kotor wastafel buntu alir air satpam ramah parkir cari suruh pintu masuk parkir kosong
harkat rofiah,2,4 tahun lalu di,"kecewa sama layanannya
Pas mau cek in kan dimintain ktp, terus disuruh ttd apalah itu. abis itu suruh nunggu, jam 2 baru bisa masuk kamar katanya, oke ditunggu â¦",-1,kecewa layan pas cek in dimintain ktp suruh ttd apa abis suruh nunggu jam 2 masuk kamar oke tunggu 
Trabasss Worr,2,setahun lalu di,Kamarnya biasa banget. Buffetnya ramai.. ini hotel kebanyakan wisatawan bus,-1,kamar banget buffetnya ramai hotel banyak wisatawan bus
Kevin Alexander,2,setahun lalu di,"Kurang bersih.. Toilet banyak debu & lumut.. Gelas minum di kamar, berkerak",-1,bersih toilet debu lumut gelas minum kamar kerak
pradipta dina laksmintari,2,6 tahun lalu di,"Kecewa! Booking meeting room sdh 2 mgg yg lalu,sudah DP,sudah mnta book by system, 2 hari sebelum hari H, dicancel sm pihak hotel,dgn alasan sudah keduluan yg lain,ga profesional yah utk sekelas pesonna tugu.",-1,kecewa booking meeting room sdh 2 mgg yg lalusudah dpsudah mnta book by system 2 h dicancel sm hoteldgn alas keduluan yg lainga profesional yah utk kelas pesonna tugu
